metric,sector
nonres_a0_exp,Residential
nonres_a0_lin,Residential
nonres_a1_exp,Residential
nonres_a1_lin,Residential
nonres_t0_exp,Residential
nonres_t0_lin,Residential
res_a0_exp,Commercial
res_a0_exp,Industrial
res_a0_exp,Transportation
res_a0_lin,Commercial
res_a0_lin,Industrial
res_a0_lin,Transportation
res_a1_exp,Commercial
res_a1_exp,Industrial
res_a1_exp,Transportation
res_a1_lin,Commercial
res_a1_lin,Industrial
res_a1_lin,Transportation
res_t0_exp,Commercial
res_t0_exp,Industrial
res_t0_exp,Transportation
res_t0_lin,Commercial
res_t0_lin,Industrial
res_t0_lin,Transportation
