id,name
Africa,Africa
Asia Pacific,Asia Pacific
Australia,Australia
Austria,Austria
Belgium,Belgium
Brazil,Brazil
Bulgaria,Bulgaria
Canada,Canada
Central and South America,Central and South America
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
EU27,EU27
Estonia,Estonia
Europe,Europe
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Ireland,Ireland
Israel,Israel
Italy,Italy
Japan,Japan
Jordan,Jordan
Latvia,Latvia
Lithuania,Lithuania
Luxembourg,Luxembourg
Malaysia,Malaysia
Mexico,Mexico
Middle East and Caspian,Middle East and Caspian
Netherlands,Netherlands
New Zealand,New Zealand
North America,North America
Norway,Norway
Poland,Poland
Portugal,Portugal
Rest of World,Rest of World
Romania,Romania
Russia,Russia
Seychelles,Seychelles
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South Korea,South Korea
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Thailand,Thailand
Turkey,Turkey
United Kingdom,United Kingdom
United States,United States
Uzbekistan,Uzbekistan
Vietnam,Vietnam
World,World
